Estimation_Time,Weekday,Com_A,Com_B,Com_C,Com_D,Time_Period,Busy,Roadwork_A,Roadwork_B,Roadwork_C,Roadwork_D,Congestion_level,Sequence,Sequence_prev
2019-09-01 00:00:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.01,E,E
2019-09-01 00:30:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.17,E,E
2019-09-01 01:00:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.47,E,E
2019-09-01 01:30:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.09,E,E
2019-09-01 02:00:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.03,E,E
2019-09-01 02:30:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.32,E,E
2019-09-01 03:00:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.37,E,E
2019-09-01 03:30:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.33,E,E
2019-09-01 04:00:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.39,E,E
2019-09-01 04:30:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,1,0,0,0.22,ADCB,E
2019-09-01 05:00:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.12,E,ADCB
2019-09-01 05:30:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.2,E,E
2019-09-01 06:00:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.3,E,E
2019-09-01 06:30:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.45,E,E
2019-09-01 07:00:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,1,0,0.48,BADC,E
2019-09-01 07:30:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.45,E,BADC
2019-09-01 08:00:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.14,E,E
2019-09-01 08:30:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.35,E,E
2019-09-01 09:00:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.05,E,E
2019-09-01 09:30:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.21,E,E
2019-09-01 10:00:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.34,E,E
2019-09-01 10:30:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.05,E,E
2019-09-01 11:00:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.44,E,E
2019-09-01 11:30:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.48,E,E
2019-09-01 12:00:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.13,E,E
2019-09-01 12:30:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.48,E,E
2019-09-01 13:00:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.5,E,E
2019-09-01 13:30:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.03,E,E
2019-09-01 14:00:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,1,0,0.12,BADC,E
2019-09-01 14:30:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.01,E,BADC
2019-09-01 15:00:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.4,E,E
2019-09-01 15:30:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.22,E,E
2019-09-01 16:00:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,1,0.42,CBAD,E
2019-09-01 16:30:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.29,E,CBAD
2019-09-01 17:00:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,1,0,0,0,0.19,DCBA,E
2019-09-01 17:30:00,Sunday,900.0,1350.0,1650.0,1950.0,4,False,0,0,0,0,0.29,E,DCBA
